Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Alpha,Beta
2.42,0.544950503539267,-0.544950508780259,-2.97826468653364,0.553669415671563,-0.55366942238736,-1.97834070886496,0.00871935551363394,0.00871902260386189
2.44,0.551293620735856,-0.551293626045543,-2.97886469435977,0.560288751025821,-0.560288757703208,-1.97894561001468,0.00899561691053613,0.00899525159726542
2.46,0.557608919172466,-0.557608925564696,-2.9794478049064,0.566872255277365,-0.566872261924544,-1.9795336179865,0.00926386632846987,0.00926346859022803
2.48,0.563895409165026,-0.563895416753282,-2.98001450496316,0.573418857542347,-0.573418864156936,-1.98010520513615,0.00952402328462977,0.0095235923397518
2.5,0.570152234991907,-0.570152242213859,-2.98056526977902,0.579927520465586,-0.579927527030714,-1.98066083054462,0.00977590760540943,0.00977544116190541
2.52,0.576378259751313,-0.576378265422477,-2.98110055524378,0.586397234836281,-0.586397241339061,-1.98120094015243,0.0100196464562316,0.0100191427097625
2.54,0.582572223721835,-0.582572228481341,-2.98162079938902,0.592827022018817,-0.592827028467196,-1.98172596582445,0.0102555190012249,0.0102549780394373
2.56,0.588733037196536,-0.588733042420989,-2.98212643106126,0.599215936353142,-0.599215942761657,-1.9822363282871,0.0104836684148268,0.0104830911624517
2.58,0.594859764417584,-0.59485977113461,-2.98261787016752,0.605563064726063,-0.605563071102961,-1.98273243736419,0.0107041175179273,0.0107035046818327
2.6,0.600951623576253,-0.600951631378045,-2.98309552767541,0.611867526572477,-0.611867532910529,-1.98321469169768,0.0109167687778694,0.0109161197921119
2.62,0.607007890301876,-0.607007897059731,-2.98355980369792,0.618128472553833,-0.618128478830563,-1.98368347868994,0.0111214987251308,0.0111208114735352
2.64,0.613027470025493,-0.613027475327281,-2.98401107758923,0.624345079437309,-0.624345085648334,-1.98413917408667,0.011318576886605,0.0113178510346022
2.66,0.619009345067782,-0.619009349913478,-2.98444971782151,0.630516555344099,-0.63051656150108,-1.98458214249309,0.0115082275540158,0.011507464247696
2.68,0.624952648189081,-0.624952653860557,-2.98487608569558,0.636642139350524,-0.636642145466424,-1.98501273924148,0.0116905566262102,0.0116897573946824
2.7,0.630856652411759,-0.63085665941994,-2.98529053520771,0.642721101308596,-0.642721107386477,-1.98543131025311,0.011865561531599,0.0118647272646207
2.72,0.636720766593378,-0.636720773666189,-2.98569341295751,0.648752741781088,-0.648752747806239,-1.98583819185229,0.0120331355498585,0.0120322655149776
2.74,0.642544232051766,-0.642544237936925,-2.98608505104472,0.654736388135736,-0.65473639409472,-1.98623371076545,0.0121933645782804,0.0121924581621413
2.76,0.648326143849638,-0.648326148950202,-2.98646576665242,0.660671395318775,-0.660671401216405,-1.98661818351154,0.0123465067877105,0.0123455650708014
2.78,0.65406574339695,-0.654065748654791,-2.98683587081671,0.66655714782973,-0.666557153676157,-1.98699191818416,0.0124927046334535,0.0124917293053581
2.8,0.659762381532148,-0.65976238764098,-2.98719566812912,0.672393058774159,-0.672393064575605,-1.98735521486041,0.0126320205080175,0.0126310131032158
2.82,0.665415518522168,-0.665415525140572,-2.98754545673657,0.678178569864322,-0.678178575615801,-1.9877083654747,0.0127644367411146,0.0127633978747842
2.84,0.671024625074122,-0.671024630983698,-2.98788552592874,0.683913150027076,-0.683913155715451,-1.98805165380059,0.0128899522909886,0.0128888818071973
2.86,0.67658897417728,-0.676588979385452,-2.98821615019856,0.689596293298219,-0.689596298923629,-1.98838535486981,0.0130087869408616,0.0130076859343484
2.88,0.682107934123056,-0.682107939182363,-2.98853759745502,0.695227521493859,-0.695227527062415,-1.9887097358503,0.0131210936124464,0.0131199637649997
2.9,0.687580956032162,-0.687580961513993,-2.9888501298209,0.7008063827749,-0.700806388292197,-1.98902505703366,0.0132269692512961,0.0132258123205357
2.92,0.693007571620607,-0.693007577610646,-2.98915400358865,0.706332451604604,-0.706332457070598,-1.98933157177348,0.0133264569971516,0.0133252743263009
2.94,0.698387377461091,-0.698387383203648,-2.98944946884143,0.711805328468389,-0.711805333874664,-1.98962952645652,0.01341956150002,0.013418353671056
2.96,0.703719855629112,-0.703719860801989,-2.98973676441678,0.7172246376776,-0.717224643020609,-1.98991916019137,0.0135064245268342,0.0135051925806006
2.98,0.709004487939422,-0.709004492810533,-2.99001612072379,0.722590029087245,-0.722590034370094,-1.99020070469328,0.0135872135113958,0.0135859590894701
3,0.7142408295976,-0.714240834595778,-2.99028776316653,0.727901176893382,-0.727901182120591,-1.99047438567188,0.0136620472514452,0.0136607721798467
3.02,0.719428499626482,-0.719428505012602,-2.99055191204276,0.733157779271255,-0.733157784445082,-1.99074042292758,0.0137310050238095,0.01372971099382
3.04,0.724567180866158,-0.724567186404261,-2.99080878254384,0.73835955837552,-0.738359563492937,-1.99099903031251,0.0137941265844025,0.0137928148333869
3.06,0.729656559446134,-0.729656564585126,-2.99105858310449,0.743506259349707,-0.743506264404685,-1.99125041569062,0.0138514712222798,0.0138501427032836
3.08,0.734696230720488,-0.734696235485294,-2.99130151222748,0.748597649875418,-0.748597654868296,-1.99149478036145,0.0139032107076521,0.0139018669341499
3.1,0.739685848601368,-0.739685853267289,-2.99153776348164,0.753633520688025,-0.753633525621987,-1.99173231996813,0.0139494816216967,0.0139481243505922
3.12,0.744625122119579,-0.744625126974927,-2.99176752609499,0.758613684180201,-0.75861368905828,-1.99196322511288,0.013990387311712,0.0139890183141298
3.14,0.749513815109456,-0.749513820221047,-2.99199098494814,0.763537974392977,-0.763537979215569,-1.99218768133243,0.0140259981944177,0.0140246190292433
3.16,0.754351741450311,-0.754351746463691,-2.99220832044669,0.768406246922665,-0.768406251685757,-1.99240586907998,0.014056356388742,0.0140549682091799
3.18,0.759138656993945,-0.75913866169956,-2.9924197052964,0.773218377569663,-0.773218382270928,-1.99261796348099,0.0140815817208668,0.0140801858077437
3.2,0.763874308732356,-0.763874313246026,-2.99262530579364,0.777974263292295,-0.77797426793319,-1.99282413428041,0.0141018238733263,0.0141004218007247
3.22,0.768558498705721,-0.768558503227566,-2.99282528459008,0.782673820898044,-0.782673825480929,-1.99302454676424,0.0141171975587439,0.0141157909626127
3.24,0.773191073717832,-0.773191078372566,-2.9930198005382,0.787316986549571,-0.787316991075802,-1.99321936186207,0.014127792233428,0.0141263826580287
3.26,0.777771925336099,-0.777771930013323,-2.99320900869131,0.791903715764789,-0.791903720233075,-1.99340873613461,0.014133672097372,0.0141322608417248
