Time,Des_Pos_X,Des_Pos_Y,Des_Pos_Z,X,Y,Z,Hx,Hy,Hz,Alpha,Beta
25.1,-0.627989606306143,0.570304474200023,-0.709329868768714,-0.618279968977412,0.535034502642104,-1.7086604340419,-0.627989483855973,0.570304097335605,-0.709329767540081,-0.0352785746925592,-0.00970966744526677
25.12,-0.63866893734761,0.577884932081843,-0.712889645782537,-0.628794083436365,0.542145092871166,-1.71220202269547,-0.63866888468195,0.577884577670115,-0.712889670361798,-0.0357488413308069,-0.0098749617374031
25.14,-0.64930887228062,0.585322805503747,-0.716436290760207,-0.639269440396837,0.549121934308604,-1.71573057896796,-0.649308898341722,0.585322479519006,-0.71643646319891,-0.0362102822293647,-0.0100396265998927
25.16,-0.659908754783872,0.592616259281767,-0.719969584927957,-0.649705344134633,0.555963252386371,-1.71924587523766,-0.659908855022183,0.592615961148725,-0.719969903693288,-0.0366628298164995,-0.0102036879465448
25.18,-0.670467931006682,0.599763493865318,-0.723489310335561,-0.660101088064697,0.562667290367406,-1.72274767755376,-0.670468083821726,0.59976321336803,-0.723489743937165,-0.0371064312384875,-0.0103671814641321
25.2,-0.680985749609318,0.606762745781209,-0.726995249869773,-0.670455954741117,0.569232309345639,-1.7262357456363,-0.680985912750146,0.606762459525506,-0.726995730518907,-0.0375410483596142,-0.0105301526123907
25.22,-0.691461561803192,0.613612288068767,-0.730487187267731,-0.680769260300094,0.575656683961166,-1.72970984811076,-0.691461684458317,0.613611983648696,-0.730487616927304,-0.0379665901243265,-0.0106926279091672
25.24,-0.701894721390859,0.620310430705921,-0.733964907130287,-0.691040444773111,0.581938952759019,-1.73316981651328,-0.701894777873788,0.620310125590753,-0.733965214568084,-0.0383828572674707,-0.0108545462486516
25.26,-0.712284584805889,0.626855521026201,-0.737428194935297,-0.701268944244562,0.588077594270147,-1.73661549404883,-0.712284566323176,0.62685522382263,-0.737428348656884,-0.0387897091844284,-0.0110158448705914
25.28,-0.722630511152573,0.633245944126512,-0.740876837050858,-0.711454184185935,0.594071116831706,-1.74004671700988,-0.72263042249671,0.633245656773268,-0.740876838001514,-0.039187015421722,-0.0111764709913472
25.3,-0.732931862245433,0.63948012326557,-0.744310620748478,-0.721595579875816,0.599918060141129,-1.74346331481795,-0.732931718642743,0.63947984337598,-0.744310495042552,-0.0395746546705945,-0.0113363815784678
25.32,-0.743188002648611,0.645556520252957,-0.747729334216203,-0.731692536399908,0.605616995256144,-1.7468651100237,-0.743187826567686,0.645556243066319,-0.747729125891251,-0.0399525147670107,-0.0114955433506902
25.34,-0.753398299715058,0.651473635828643,-0.751132766571686,-0.741744448651022,0.611166524594763,-1.75025191830685,-0.753398117635925,0.651473355779946,-0.751132530366145,-0.0403204926916562,-0.0116539327779395
25.36,-0.763562123625557,0.657230010032898,-0.754520707875186,-0.751750701329077,0.616565281935284,-1.75362354847621,-0.763561962769728,0.657229721950512,-0.754520502028337,-0.0406784945699381,-0.0118115360813291
25.38,-0.77367884742757,0.662824222566519,-0.757892949142523,-0.761710668941104,0.621811932416294,-1.75697980246972,-0.773678732449161,0.662823922507562,-0.75789282821542,-0.0410264356719845,-0.0119683492331605
25.4,-0.783747847073922,0.668254893141275,-0.761249282357974,-0.771623715801242,0.626905172536668,-1.76032047535439,-0.783747796711996,0.668254578874473,-0.761249290073988,-0.0413642404126448,-0.0121243779569235
25.42,-0.793768501461285,0.673520681820461,-0.764589500487095,-0.781489196030742,0.631843730155567,-1.76364535532631,-0.793768525153621,0.673520352966426,-0.764589662590724,-0.0416918423514896,-0.012279637727296
25.44,-0.803740192468493,0.678620289349513,-0.767913397489498,-0.791306453557957,0.636626364492436,-1.76695422371068,-0.803740286926931,0.678619947188422,-0.767913714622028,-0.0420091841928105,-0.0124341537701442
25.46,-0.813662304994679,0.683552457476584,-0.77122076833156,-0.801074822118363,0.641251866127016,-1.7702468549618,-0.813662450742257,0.683552104433361,-0.771221208922191,-0.0423162177856208,-0.0125879610625225
25.48,-0.823534226997196,0.688315969262985,-0.774511408999065,-0.810793625254531,0.645719056999325,-1.77352301666305,-0.823534384867237,0.688315608080159,-0.774511902170066,-0.0426129041236544,-0.0127411043326733
25.5,-0.833355349529403,0.692909649383465,-0.777785116509801,-0.8204622163714,0.650026849976665,-1.77678248532994,-0.833355471081918,0.692909296090327,-0.777785558508705,-0.0428991678166459,-0.0128936119577944
25.52,-0.843125066778196,0.697332364416188,-0.781041688926065,-0.830080071760535,0.65417425796485,-1.78002510356578,-0.843125127493113,0.697332048181384,-0.781042004777534,-0.0431748750878782,-0.0130454257480002
25.54,-0.852842776101394,0.7015830231224,-0.784280925367131,-0.839646665873681,0.658160246886861,-1.7832507254651,-0.852842767670557,0.701582756757716,-0.784281082015465,-0.0434399518886209,-0.0131964848153802
25.56,-0.862507878064916,0.705660576715669,-0.787502626021639,-0.849161463129112,0.66198382361332,-1.78645919787016,-0.862507805098501,0.705660359936674,-0.787502624574385,-0.0436943289486087,-0.0133467382203325
25.58,-0.872119776479745,0.709564019120659,-0.790706592159915,-0.858623918541946,0.665644037836006,-1.78965036047351,-0.872119653463938,0.7095638421028,-0.790706460180768,-0.0439379404567711,-0.0134961446295409
25.6,-0.881677878438709,0.713292387221365,-0.793892626146236,-0.868033477724147,0.669139982067863,-1.79282404581801,-0.881677726656515,0.713292233906344,-0.793892409954641,-0.0441707240612325,-0.0136446723159746
25.62,-0.891181594353058,0.716844761098748,-0.797060531451019,-0.877389576884518,0.67247079164299,-1.79598007929678,-0.891181438768431,0.716844612261817,-0.79706028842793,-0.0443926208693119,-0.0137922991588886
25.64,-0.900630337988827,0.720220264257707,-0.800210112662942,-0.886691642828713,0.675635644716648,-1.79911827915325,-0.900630204094351,0.720220100346591,-0.800209903562167,-0.0446035754475237,-0.0139390126438238
25.66,-0.910023526502998,0.723418063843348,-0.803341175500999,-0.895939092959228,0.67863376226526,-1.80223845648116,-0.910023437131304,0.723417867599537,-0.80334105676553,-0.0448035358215766,-0.0140848098626064
25.68,-0.919360580479464,0.726437370846473,-0.806453526826488,-0.905131335275404,0.681464408086407,-1.80534041522452,-0.919360552578578,0.72643712971972,-0.806453542909223,-0.0449924534763746,-0.0142296975133486
25.7,-0.928640923964751,0.729277440298257,-0.809546974654917,-0.914267768373425,0.684126888798832,-1.80842395217763,-0.928640965337629,0.729277148665147,-0.809547150343175,-0.0451702833560162,-0.0143736919004479
25.72,-0.937863984503556,0.73193757145406,-0.812621328167852,-0.923347781446322,0.686620553842436,-1.81148885698511,-0.937864090511973,0.731937232651567,-0.812621660911067,-0.0453369838637951,-0.0145168189345877
25.74,-0.947029193174067,0.734417107966325,-0.815676397724689,-0.932370754283969,0.688944795478283,-1.81453491214185,-0.947029343407085,0.734416736151344,-0.81567684996467,-0.0454925168621996,-0.014659114132737
25.76,-0.956135984623034,0.736715438046516,-0.818711994874345,-0.941336057273081,0.691099048788593,-1.81756189299303,-0.956136139530292,0.736715059892381,-0.818712486377524,-0.045636847672913,-0.0148006226181506
25.78,-0.965183797100668,0.73883199461608,-0.821727932366889,-0.950243109995764,0.693082832723384,-1.82056959408708,-0.965183914194379,0.738831653528081,-0.821728356569887,-0.045769906629927,-0.0149413601211797
25.8,-0.974172072495275,0.740766255446353,-0.824724024165092,-0.959091438619428,0.694895667187517,-1.82355787539793,-0.974172132027902,0.740765985621187,-0.824724312399016,-0.0458916420027917,-0.0150812650939156
25.82,-0.983100256367691,0.742517743287418,-0.827700085455897,-0.967880559369371,0.696537058545893,-1.82652659948683,-0.983100253039314,0.742517557003919,-0.827700210825548,-0.0460020479402942,-0.0152202813104946
25.84,-0.991967797985477,0.744086025985858,-0.830655932661826,-0.976609979964817,0.698006564893802,-1.82947562172706,-0.991967738075674,0.744085918171866,-0.83065590202421,-0.0461011165426665,-0.0153583618902926
25.86,-1.0007741503569,0.745470716591385,-0.8335913834523,-0.98527919961926,0.699303796057519,-1.83240479030405,-1.00077404882269,0.745470669283412,-0.833591229390545,-0.0461888378610968,-0.0154954692977247
25.88,-1.00951877026466,0.74667147345231,-0.836506256754887,-0.993887709040464,0.700428413594312,-1.83531394621535,-1.00951864780462,0.746671460159083,-0.836506029547806,-0.04626519989773,-0.015631575342245
25.9,-1.01820111829941,0.747688000299846,-0.83940037276647,-1.00243499043046,0.701380130792431,-1.83820292327068,-1.01820099838417,0.747687990280914,-0.839400132354078,-0.0463301886056675,-0.0157666611783471
25.92,-1.02682065889303,0.748520046321204,-0.842273552964345,-1.01092051748556,0.70215871267112,-1.84107154809189,-1.02682056476242,0.748520008791851,-0.842273360909615,-0.0463837878889669,-0.0159007173055634
25.94,-1.03537686035165,0.749167406221477,-0.845125620117218,-1.01934375539632,0.702763975980606,-1.84391964011296,-1.03537681197866,0.749167314495189,-0.845125531564396,-0.0464259796026426,-0.0160337435684656
25.96,-1.04386919488847,0.749629920274299,-0.847956398296157,-1.0277041608476,0.703195789202106,-1.84674701158003,-1.04386920591037,0.749629755854043,-0.847956453925885,-0.0464567435526652,-0.0161657491566647
25.98,-1.05229713865628,0.749907474361245,-0.850765712885428,-1.03600118201851,0.703454072547826,-1.84955346755137,-1.05229721327305,0.749907230990851,-0.850765930867009,-0.0464760574959618,-0.0162967526048105
26,-1.06066017177982,0.75,-0.853553390593274,-1.04423425858243,0.703538797960959,-1.85233880589739,-1.06066030162016,0.74999968768692,-0.853553758534348,-0.0464838971404161,-0.0164267817925924
26.02,-1.06895777838781,0.749907474361245,-0.856319259462602,-1.05240282170702,0.703449989115684,-1.85510281730064,-1.06895793934299,0.74990712338201,-0.85631972635656,-0.0464802361448683,-0.0165558739447385
26.04,-1.07718944664478,0.749629920274299,-0.859063148881594,-1.06050629836571,0.703187723441367,-1.8578452869615,-1.07718959725054,0.74962958457031,-0.859063618590882,-0.0464650434859449,-0.0166840728990538
26.06,-1.08535466878267,0.749167406221477,-0.861784889594225,-1.06854420710072,0.702752107156927,-1.86056604526982,-1.08535477775311,0.749167141889723,-0.861785263884293,-0.0464382834612593,-0.0168113625177664
26.08,-1.09345294113212,0.748520046321204,-0.864484313710705,-1.07651612302371,0.702143183017485,-1.86326496818095,-1.09345299553435,0.748519882636579,-0.864484539817434,-0.0464000005718093,-0.0169376823604201
26.1,-1.10148376415353,0.747688000299846,-0.867161254717843,-1.08442160873594,0.701361031596348,-1.86594192583478,-1.10148376342716,0.747687942531557,-0.867161319194618,-0.0463502499635897,-0.0170629826472491
26.12,-1.10944664246791,0.74667147345231,-0.869815547489305,-1.09226021932282,0.700405791225909,-1.86859678134296,-1.10944659572283,0.746671507922067,-0.869815467979109,-0.0462890796661811,-0.0171872225735457
26.14,-1.11734108488743,0.745470716591385,-0.872447028295811,-1.10003150235394,0.699277657997653,-1.87122939078884,-1.11734100817092,0.745470815782229,-0.872446845295445,-0.0462165305927496,-0.0173103703096603
26.16,-1.12516660444569,0.744086025985858,-0.87505553481523,-1.10773499788303,0.697976885762151,-1.87383960322746,-1.12516651797914,0.744086153712841,-0.875055303432858,-0.0461326365400474,-0.0174324030010015
26.18,-1.13292271842777,0.742517743287418,-0.877640906142591,-1.11537023844798,0.696503786129067,-1.8764272606856,-1.13292264381325,0.742517859941351,-0.877640687849796,-0.0460374241884121,-0.0175533067680362
26.2,-1.14060894840005,0.740766255446353,-0.880202982800015,-1.12293674907087,0.694858728467149,-1.87899219816174,-1.14060890579702,0.740766323321822,-0.880202837179507,-0.0459309131017672,-0.0176730767062893
26.22,-1.14822482023963,0.738831994616081,-0.882741606746544,-1.13043404725791,0.693042139904238,-1.88153424362609,-1.14822482551205,0.738831983334907,-0.882741583236702,-0.0458131157276218,-0.0177917168863437
26.24,-1.15576986416368,0.736715438046517,-0.885256621387895,-1.13786164299949,0.691054505327262,-1.88405321802054,-1.15576992599773,0.736715330087818,-0.885256751025271,-0.0456840373970707,-0.0179092403538407
26.26,-1.16324361475835,0.734417107966325,-0.887747871586117,-1.14521903877013,0.688896367382238,-1.88654893525873,-1.16324373175113,0.734416904314306,-0.887748158747043,-0.0455436763247947,-0.0180256691294796
26.28,-1.1706456110075,0.73193757145406,-0.890215203669165,-1.15250572952854,0.686568326474273,-1.889021202226,-1.17064576872691,0.731937297374644,-0.890215617811631,-0.0453920236090599,-0.0181410342090179
26.3,-1.17797539632112,0.729277440298258,-0.892658465440372,-1.15972120271759,0.684071040767562,-1.89146981877938,-1.17797556433719,0.729277151255623,-0.892658932847314,-0.0452290632317185,-0.0182553755632712
26.32,-1.18523251856354,0.726437370846473,-0.895077506187845,-1.16686497603887,0.681405202874767,-1.89389459631476,-1.18523265975099,0.726437141184319,-0.895077920078759,-0.0450547779685108,-0.0183687166587173
26.34,-1.19241653008127,0.723418063843349,-0.897472176693755,-1.17393667299444,0.678571412783567,-1.89629541257626,-1.19241662693945,0.723417937634873,-0.897472465047046,-0.0448692385253076,-0.0184810059508547
26.36,-1.19952698773063,0.720220264257708,-0.899842329243545,-1.18093591315302,0.675570270806789,-1.89867215257084,-1.19952703525184,0.72022025711497,-0.899842462933115,-0.0446725613847351,-0.0185921932064521
